seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	228001497	228001661	165	*	X01063	339501	228003418	228034171	30754	+	1756	upstream	1756	PRSS38
chr1	228003402	228003761	360	*	X01064	339501	228003418	228034171	30754	+	0	overlapStart	0	PRSS38
chr1	228282952	228283086	135	*	X01075	100500810	228284964	228285042	79	+	1877	upstream	1877	MIR3620
chr1	229406502	229406641	140	*	X01098	5867	229406809	229441640	34832	+	167	upstream	167	RAB4A
chr1	232940330	232940598	269	*	X01175	54627	232940638	232946092	5455	+	39	upstream	39	MAP10
chr1	236848972	236849494	523	*	X01236	88	236849770	236927558	77789	+	275	upstream	275	ACTN2
chr1	247171085	247171219	135	*	X01333	57116	247108849	247171395	62547	-	0	inside	175	ZNF695
chr1	247171250	247171384	135	*	X01334	57116	247108849	247171395	62547	-	0	inside	10	ZNF695
chr1	247242725	247242964	240	*	X01346	100533111	247108849	247242115	133267	-	609	upstream	609	ZNF670-ZNF695
chr1	247242725	247242964	240	*	X01346	93474	247197940	247242115	44176	-	609	upstream	609	ZNF670
chr1	247275469	247275631	163	*	X01359	388759	247273462	247275719	2258	-	0	inside	87	LINC02897
chr1	247276202	247276381	180	*	X01360	388759	247273462	247275719	2258	-	482	upstream	482	LINC02897
chr1	247276699	247276826	128	*	X01361	388759	247273462	247275719	2258	-	979	upstream	979	LINC02897
chr1	247276830	247276848	19	*	X01362	388759	247273462	247275719	2258	-	1110	upstream	1110	LINC02897
chr1	247277222	247277371	150	*	X01363	388759	247273462	247275719	2258	-	1502	upstream	1502	LINC02897
chr1	247365128	247365292	165	*	X01389	100500849	247365269	247365362	94	-	0	overlapEnd	69	MIR3916
chr1	247367078	247367172	95	*	X01390	100500849	247365269	247365362	94	-	1715	upstream	1715	MIR3916
chr1	247877605	247877678	74	*	X01415	343169	247875131	247876057	927	-	1547	upstream	1547	OR6F1
chr10	2357950	2358084	135	*	X01442	399708	2342513	2357268	14756	-	681	upstream	681	LINC00701
chr10	4867422	4867464	43	*	X01467	83592	4868369	4890251	21883	+	904	upstream	904	AKR1E2
chr10	4867480	4867772	293	*	X01468	83592	4868369	4890251	21883	+	596	upstream	596	AKR1E2
chr10	4867863	4867982	120	*	X01469	83592	4868369	4890251	21883	+	386	upstream	386	AKR1E2
chr10	6819899	6820018	120	*	X01538	100507127	6821560	6884868	63309	+	1541	upstream	1541	LINC00707
chr10	14504789	14504908	120	*	X01612	55691	13685706	14504143	818438	-	645	upstream	645	FRMD4A
chr10	18239742	18239809	68	*	X01645	221074	18240768	18332221	91454	+	958	upstream	958	SLC39A12
chr10	44069736	44069832	97	*	X01960	8187	44051793	44070066	18274	-	0	inside	233	ZNF239
chr10	44070525	44070689	165	*	X01961	8187	44051793	44070066	18274	-	458	upstream	458	ZNF239
chr10	44071851	44071985	135	*	X01962	8187	44051793	44070066	18274	-	1784	upstream	1784	ZNF239
chr10	44100990	44101094	105	*	X01964	220992	44101855	44113352	11498	+	760	upstream	760	ZNF485
chr10	45496205	45496819	615	*	X01979	7570	45496273	45500777	4505	+	0	overlapStart	0	ZNF22
chr10	45496205	45496819	615	*	X01979	220979	45493146	45496470	3325	-	0	overlapStart	0	ZNF22-AS1
chr10	64892297	64892416	120	*	X02088	29982	64893007	64914786	21780	+	590	upstream	590	NRBF2
chr10	71388121	71388225	105	*	X02126	219738	71390003	71393355	3353	+	1777	upstream	1777	FAM241B
chr10	72044660	72044794	135	*	X02139	64106	72014713	72043450	28738	-	1209	upstream	1209	NPFFR1
chr10	76817989	76818185	197	*	X02177	338599	76797594	76818272	20679	-	0	inside	86	DUSP29
chr10	82212033	82212182	150	*	X02251	81619	82214038	82282391	68354	+	1855	upstream	1855	TSPAN14
chr10	92629736	92629855	120	*	X02294	10556	92631275	92668312	37038	+	1419	upstream	1419	RPP30
chr10	97850160	97850195	36	*	X02350	728558	97512963	97849992	337030	-	167	upstream	167	ENTPD1-AS1
chr10	97888464	97888501	38	*	X02351	9849	97889472	97923517	34046	+	970	upstream	970	ZNF518A
chr10	99496118	99496277	160	*	X02359	118813	99496878	99520664	23787	+	600	upstream	600	ZFYVE27
chr10	99892633	99892815	183	*	X02367	27291	99894381	100004654	110274	+	1565	upstream	1565	R3HCC1L
chr10	99893397	99893519	123	*	X02368	27291	99894381	100004654	110274	+	861	upstream	861	R3HCC1L
chr10	123735149	123735287	139	*	X02565	54780	123716603	123734743	18141	-	405	upstream	405	NSMCE4A
chr10	123735483	123735647	165	*	X02566	54780	123716603	123734743	18141	-	739	upstream	739	NSMCE4A
chr10	123747246	123747440	195	*	X02567	10579	123748689	124014057	265369	+	1248	upstream	1248	TACC2
chr10	123748236	123748370	135	*	X02568	10579	123748689	124014057	265369	+	318	upstream	318	TACC2
chr10	124714290	124714409	120	*	X02581	80007	124690419	124713919	23501	-	370	upstream	370	C10orf88
chr11	1332474	1332623	150	*	X02779	54472	1295598	1330892	35295	-	1581	upstream	1581	TOLLIP
chr11	2464785	2465194	410	*	X02808	3784	2466221	2870340	404120	+	1026	upstream	1026	KCNQ1
chr11	2465210	2465374	165	*	X02809	3784	2466221	2870340	404120	+	846	upstream	846	KCNQ1
chr11	2465405	2465570	166	*	X02810	3784	2466221	2870340	404120	+	650	upstream	650	KCNQ1
chr11	36535447	36535646	200	*	X03127	5896	36537014	36614706	77693	+	1367	upstream	1367	RAG1
chr11	43701024	43701158	135	*	X03178	51144	43702143	43878169	176027	+	984	upstream	984	HSD17B12
chr11	43701363	43701467	105	*	X03179	51144	43702143	43878169	176027	+	675	upstream	675	HSD17B12
chr11	45308848	45308967	120	*	X03202	57586	45261853	45307884	46032	-	963	upstream	963	SYT13
chr11	50257294	50257422	129	*	X03224	441601	50238999	50257633	18635	-	0	inside	210	SEPTIN7P11
chr11	60524384	60524421	38	*	X03284	219995	60524340	60544204	19865	+	0	inside	43	MS4A15
chr11	61158940	61158944	5	*	X03289	51259	61159832	61166335	6504	+	887	upstream	887	TMEM216
chr11	61274865	61274984	120	*	X03290	100616470	61276068	61276129	62	+	1083	upstream	1083	MIR4488
chr11	61274865	61274984	120	*	X03290	390205	61276272	61278490	2219	+	1287	upstream	1287	LRRC10B
chr11	62690297	62690369	73	*	X03303	1128	62676151	62689012	12862	-	1284	upstream	1284	CHRM1
chr11	64357023	64357110	88	*	X03322	116085	64358282	64369825	11544	+	1171	upstream	1171	SLC22A12
chr11	66186546	66186665	120	*	X03335	266743	66188475	66194177	5703	+	1809	upstream	1809	NPAS4
chr11	66186762	66187001	240	*	X03336	266743	66188475	66194177	5703	+	1473	upstream	1473	NPAS4
chr11	70937416	70937505	90	*	X03482	22941	70313961	70935842	621882	-	1573	upstream	1573	SHANK2
chr11	71257948	71257988	41	*	X03495	3846	71259466	71260653	1188	+	1477	upstream	1477	KRTAP5-9
chr11	71258229	71258363	135	*	X03496	3846	71259466	71260653	1188	+	1102	upstream	1102	KRTAP5-9
chr11	74023748	74023801	54	*	X03514	283208	73958546	74022699	64154	-	1048	upstream	1048	P4HA3
chr11	74801933	74802067	135	*	X03536	341152	74799796	74800758	963	-	1174	upstream	1174	OR2AT4
chr11	117957318	117957437	120	*	X03698	100526771	117886487	117957508	71022	-	0	inside	70	SMIM35
chr11	117957625	117957737	113	*	X03699	100526771	117886487	117957508	71022	-	116	upstream	116	SMIM35
chr11	117958475	117958609	135	*	X03700	100526771	117886487	117957508	71022	-	966	upstream	966	SMIM35
chr11	117959420	117959514	95	*	X03701	100526771	117886487	117957508	71022	-	1911	upstream	1911	SMIM35
chr11	118122705	118122831	127	*	X03703	196264	118100336	118123011	22676	-	0	inside	179	MPZL3
chr12	4381913	4382058	146	*	X03823	894	4382902	4414522	31621	+	843	upstream	843	CCND2
chr12	4382061	4382243	183	*	X03824	894	4382902	4414522	31621	+	658	upstream	658	CCND2
chr12	6055015	6055154	140	*	X03829	57101	5671817	6055398	383582	-	0	inside	243	ANO2
chr12	6055444	6055514	71	*	X03830	57101	5671817	6055398	383582	-	45	upstream	45	ANO2
chr12	6756264	6756533	270	*	X03840	84519	6747242	6756580	9339	-	0	inside	46	ACRBP
chr12	6756624	6756752	129	*	X03841	84519	6747242	6756580	9339	-	43	upstream	43	ACRBP
chr12	10455197	10455421	225	*	X03868	3824	10457050	10469850	12801	+	1628	upstream	1628	KLRD1
chr12	10607795	10607989	195	*	X03869	3821	10594863	10607215	12353	-	579	upstream	579	KLRC1
chr12	13530156	13530252	97	*	X03896	283422	13523605	13529679	6075	-	476	upstream	476	LINC01559
chr12	13531213	13531347	135	*	X03897	283422	13523605	13529679	6075	-	1533	upstream	1533	LINC01559
chr12	31882978	31883142	165	*	X04056	196394	31824071	31882108	58038	-	869	upstream	869	AMN1
chr12	43945797	43945841	45	*	X04121	80070	43748012	43945724	197713	-	72	upstream	72	ADAMTS20
chr12	43945977	43946176	200	*	X04122	80070	43748012	43945724	197713	-	252	upstream	252	ADAMTS20
chr12	48597782	48597938	157	*	X04227	121275	48596122	48597075	954	-	706	upstream	706	OR10AD1
chr12	48598742	48598891	150	*	X04228	121275	48596122	48597075	954	-	1666	upstream	1666	OR10AD1
chr12	50101781	50102067	287	*	X04236	91010	50031724	50101197	69474	-	583	upstream	583	FMNL3
chr12	53045906	53045908	3	*	X04252	3849	53038342	53045959	7618	-	0	inside	50	KRT2
chr12	88179699	88179738	40	*	X04510	400058	88176663	88178488	1826	-	1210	upstream	1210	MKRN9P
chr12	110940289	110940356	68	*	X04758	144715	110940005	110969891	29887	+	0	inside	283	RAD9B
chr12	110940289	110940356	68	*	X04758	51699	110929330	110939916	10587	-	372	upstream	372	VPS29
chr12	131202663	131202788	126	*	X05078	23504	130880681	131200826	320146	-	1836	upstream	1836	RIMBP2
chr12	133187342	133187391	50	*	X05135	100507055	133179736	133187037	7302	-	304	upstream	304	LRCOL1
chr12	133187644	133188288	645	*	X05136	100507055	133179736	133187037	7302	-	606	upstream	606	LRCOL1
chr12	133188517	133188636	120	*	X05137	100507055	133179736	133187037	7302	-	1479	upstream	1479	LRCOL1
chr12	133188814	133188933	120	*	X05138	100507055	133179736	133187037	7302	-	1776	upstream	1776	LRCOL1
chr12	133194529	133194708	180	*	X05140	22953	133195403	133198972	3570	+	694	upstream	694	P2RX2
chr12	133464585	133464734	150	*	X05148	55743	133416938	133464204	47267	-	380	upstream	380	CHFR
chr12	133533840	133534214	375	*	X05188	100289635	133498019	133532892	34874	-	947	upstream	947	ZNF605
chr12	133534260	133534379	120	*	X05189	100289635	133498019	133532892	34874	-	1367	upstream	1367	ZNF605
chr12	133656968	133657102	135	*	X05221	7699	133657037	133684258	27222	+	0	overlapStart	0	ZNF140
chr12	133705245	133705491	247	*	X05235	10795	133707213	133783697	76485	+	1721	upstream	1721	ZNF268
chr12	133705245	133705491	247	*	X05235	7556	133707213	133736049	28837	+	1721	upstream	1721	ZNF10
chr12	133706145	133706279	135	*	X05236	10795	133707213	133783697	76485	+	933	upstream	933	ZNF268
chr12	133706145	133706279	135	*	X05236	7556	133707213	133736049	28837	+	933	upstream	933	ZNF10
chr12	133706437	133706505	69	*	X05237	10795	133707213	133783697	76485	+	707	upstream	707	ZNF268
chr12	133706437	133706505	69	*	X05237	7556	133707213	133736049	28837	+	707	upstream	707	ZNF10
chr12	133811793	133812129	337	*	X05282	647589	133794898	133812422	17525	-	0	inside	292	ANHX
chr12	133812374	133812411	38	*	X05283	647589	133794898	133812422	17525	-	0	inside	10	ANHX
chr12	133812633	133813217	585	*	X05284	647589	133794898	133812422	17525	-	210	upstream	210	ANHX
chr13	44732858	44732932	75	*	X05354	100874377	44720606	44732358	11753	-	499	upstream	499	SMIM2-IT1
chr13	49549238	49549331	94	*	X05378	22862	49550048	49783915	233868	+	716	upstream	716	FNDC3A
chr13	76113046	76113134	89	*	X05410	170622	76099350	76111991	12642	-	1054	upstream	1054	COMMD6
chr13	99405240	99405404	165	*	X05445	6564	99336055	99404929	68875	-	310	upstream	310	SLC15A1
chr13	111267411	111267564	154	*	X05475	55739	111267807	111292342	24536	+	242	upstream	242	NAXD
chr14	21980211	21980390	180	*	X05527	56339	21966282	21979457	13176	-	753	upstream	753	METTL3
chr14	38675234	38675353	120	*	X05624	6751	38677204	38682268	5065	+	1850	upstream	1850	SSTR1
chr14	72397872	72398006	135	*	X05867	9628	72398817	73033238	634422	+	810	upstream	810	RGS6
chr14	90525991	90526125	135	*	X06003	56659	90528108	90652195	124088	+	1982	upstream	1982	KCNK13
chr14	94385329	94385553	225	*	X06058	90050	94385240	94395954	10715	+	0	inside	88	FAM181A
chr14	101516774	101516923	150	*	X06164	619555	101518783	101518862	80	+	1859	upstream	1859	MIR487A
chr14	102027647	102027704	58	*	X06190	1735	102027688	102029789	2102	+	0	overlapStart	0	DIO3
chr14	102027647	102027704	58	*	X06190	100302145	102026624	102026759	136	-	887	upstream	887	MIR1247
chr14	102027712	102027996	285	*	X06191	1735	102027688	102029789	2102	+	0	inside	23	DIO3
chr14	102027712	102027996	285	*	X06191	100302145	102026624	102026759	136	-	952	upstream	952	MIR1247
chr14	102028020	102028139	120	*	X06192	100302145	102026624	102026759	136	-	1260	upstream	1260	MIR1247
chr14	105390226	105390385	160	*	X06264	122618	105391187	105399573	8387	+	801	upstream	801	PLD4
chr14	105390486	105390605	120	*	X06265	122618	105391187	105399573	8387	+	581	upstream	581	PLD4
chr14	105390986	105391135	150	*	X06266	122618	105391187	105399573	8387	+	51	upstream	51	PLD4
chr14	105391191	105391255	65	*	X06267	122618	105391187	105399573	8387	+	0	inside	3	PLD4
chr14	105863768	105863902	135	*	X06276	647310	105864920	105880196	15277	+	1017	upstream	1017	TEX22
chr14	105863985	105864134	150	*	X06277	647310	105864920	105880196	15277	+	785	upstream	785	TEX22
chr14	105864428	105864463	36	*	X06278	647310	105864920	105880196	15277	+	456	upstream	456	TEX22
chr14	105865209	105865319	111	*	X06279	647310	105864920	105880196	15277	+	0	inside	288	TEX22
chr15	20485787	20486189	403	*	X06324	646096	20487997	20496811	8815	+	1807	upstream	1807	CHEK2P2
chr15	20486507	20486641	135	*	X06325	646096	20487997	20496811	8815	+	1355	upstream	1355	CHEK2P2
chr15	20487722	20487886	165	*	X06326	646096	20487997	20496811	8815	+	110	upstream	110	CHEK2P2
chr15	20488082	20488201	120	*	X06327	646096	20487997	20496811	8815	+	0	inside	84	CHEK2P2
chr15	25199083	25199217	135	*	X06392	8926	25200070	25244225	44156	+	852	upstream	852	SNURF
chr15	25295676	25295795	120	*	X06398	100033413	25296623	25296719	97	+	827	upstream	827	SNORD116-1
chr15	25306095	25306424	330	*	X06400	100033417	25307479	25307575	97	+	1054	upstream	1054	SNORD116-5
chr15	25306640	25306864	225	*	X06401	100033417	25307479	25307575	97	+	614	upstream	614	SNORD116-5
chr15	25313699	25313803	105	*	X06407	100033420	25315578	25315674	97	+	1774	upstream	1774	SNORD116-8
chr15	25314509	25314628	120	*	X06408	100033420	25315578	25315674	97	+	949	upstream	949	SNORD116-8
chr15	25314985	25315023	39	*	X06409	100033420	25315578	25315674	97	+	554	upstream	554	SNORD116-8
chr15	25314889	25314973	85	*	X06410	100033420	25315578	25315674	97	+	604	upstream	604	SNORD116-8
chr15	25318798	25318917	120	*	X06412	100033422	25319260	25319363	104	+	342	upstream	342	SNORD116-10
chr15	25319914	25320018	105	*	X06413	100033423	25321075	25321168	94	+	1056	upstream	1056	SNORD116-11
chr15	25321234	25321368	135	*	X06414	100033424	25322197	25322290	94	+	828	upstream	828	SNORD116-12
chr15	25321984	25322028	45	*	X06415	100033424	25322197	25322290	94	+	168	upstream	168	SNORD116-12
chr15	25322729	25323073	345	*	X06416	100033425	25324204	25325381	1178	+	1130	upstream	1130	SNORD116-13
chr15	25326586	25326690	105	*	X06417	100033428	25327914	25328007	94	+	1223	upstream	1223	SNORD116-16
chr15	25344788	25344881	94	*	X06418	100033438	25344645	25346814	2170	+	0	inside	142	SNORD116-26
chr15	33009652	33009756	105	*	X06542	26585	33010205	33026870	16666	+	448	upstream	448	GREM1
chr15	59902629	59902894	266	*	X06735	9245	59903982	59912210	8229	+	1087	upstream	1087	GCNT3
chr15	59902947	59902966	20	*	X06736	9245	59903982	59912210	8229	+	1015	upstream	1015	GCNT3
chr15	63411986	63412120	135	*	X06778	114294	63413999	63434260	20262	+	1878	upstream	1878	LACTB
chr15	69363321	69363429	109	*	X06832	283673	69365266	69388163	22898	+	1836	upstream	1836	EWSAT1
chr15	74166006	74166099	94	*	X06919	161514	74165968	74181556	15589	+	0	inside	37	TBC1D21
chr15	80213491	80213670	180	*	X06970	283687	80215113	80217196	2084	+	1442	upstream	1442	ST20-AS1
chr15	89149334	89149458	125	*	X07067	100302235	89151338	89151428	91	+	1879	upstream	1879	MIR1179
chr15	91642022	91642087	66	*	X07098	9899	91643182	91844539	201358	+	1094	upstream	1094	SV2B
chr15	95397906	95398040	135	*	X07160	440311	95398592	95400293	1702	+	551	upstream	551	LOC440311
chr15	98419486	98419622	137	*	X07210	91948	98285846	98417659	131814	-	1826	upstream	1826	LINC00923
chr15	100892133	100892282	150	*	X07270	388182	100884662	100890923	6262	-	1209	upstream	1209	SPATA41
chr16	2391385	2391620	236	*	X07341	21	2325879	2390747	64869	-	637	upstream	637	ABCA3
chr16	3265683	3265817	135	*	X07353	26184	3265562	3266546	985	+	0	inside	120	OR1F2P
chr16	3354253	3354372	120	*	X07368	7627	3355433	3368576	13144	+	1060	upstream	1060	ZNF75A
chr16	3423295	3423595	301	*	X07379	100463285	3421053	3422283	1231	-	1011	upstream	1011	MTRNR2L4
chr16	4589827	4589931	105	*	X07410	29965	4560677	4588816	28140	-	1010	upstream	1010	CDIP1
chr16	10479103	10479282	180	*	X07432	80063	10479912	10577495	97584	+	629	upstream	629	ATF7IP2
chr16	22803728	22803783	56	*	X07581	100500895	22729603	22803363	73761	-	364	upstream	364	MIR548AA2
chr16	29984383	29984532	150	*	X07648	9344	29985188	30003582	18395	+	655	upstream	655	TAOK2
chr16	29984548	29984697	150	*	X07649	9344	29985188	30003582	18395	+	490	upstream	490	TAOK2
chr16	29984726	29984729	4	*	X07650	9344	29985188	30003582	18395	+	458	upstream	458	TAOK2
chr16	30109503	30109735	233	*	X07651	83719	30103635	30107537	3903	-	1965	upstream	1965	YPEL3
chr16	31539369	31539488	120	*	X07664	51327	31539203	31540124	922	+	0	inside	165	AHSP
chr16	48274457	48274533	77	*	X07736	100616339	48274603	48420559	145957	+	69	upstream	69	MIR548AE2
chr16	51187028	51187070	43	*	X07775	6299	51169886	51185183	15298	-	1844	upstream	1844	SALL1
chr16	56228156	56228238	83	*	X07823	26077	56226529	56228437	1909	-	0	inside	198	GNAO1-AS1
chr16	58164044	58164178	135	*	X07842	29105	58147497	58163296	15800	-	747	upstream	747	CFAP20
chr16	68563343	68563388	46	*	X07897	146198	68564048	68609945	45898	+	659	upstream	659	ZFP90
chr16	70836039	70836172	134	*	X07919	55697	70721342	70835061	113720	-	977	upstream	977	VAC14
chr16	83840880	83841014	135	*	X08042	3281	83841508	83846607	5100	+	493	upstream	493	HSBP1
chr16	83841161	83841185	25	*	X08043	3281	83841508	83846607	5100	+	322	upstream	322	HSBP1
chr16	89751107	89751241	135	*	X08213	8558	89753076	89762772	9697	+	1834	upstream	1834	CDK10
chr17	3601006	3601155	150	*	X08269	100533970	3566187	3599698	33512	-	1307	upstream	1307	P2RX5-TAX1BP3
chr17	3601006	3601155	150	*	X08269	5026	3576522	3599698	23177	-	1307	upstream	1307	P2RX5
chr17	4981357	4981491	135	*	X08281	124961	4981754	4999669	17916	+	262	upstream	262	ZFP3
chr17	4981882	4982029	148	*	X08282	124961	4981754	4999669	17916	+	0	inside	127	ZFP3
chr17	5018004	5018153	150	*	X08300	9098	5019733	5078324	58592	+	1579	upstream	1579	USP6
chr17	5018454	5018575	122	*	X08301	9098	5019733	5078324	58592	+	1157	upstream	1157	USP6
chr17	5018742	5018873	132	*	X08302	9098	5019733	5078324	58592	+	859	upstream	859	USP6
chr17	5019219	5019259	41	*	X08303	9098	5019733	5078324	58592	+	473	upstream	473	USP6
chr17	5019311	5019650	340	*	X08304	9098	5019733	5078324	58592	+	82	upstream	82	USP6
chr17	5093990	5094109	120	*	X08315	100130950	5095379	5138931	43553	+	1269	upstream	1269	ZNF594-DT
chr17	5094260	5094394	135	*	X08316	100130950	5095379	5138931	43553	+	984	upstream	984	ZNF594-DT
chr17	5094818	5095162	345	*	X08317	100130950	5095379	5138931	43553	+	216	upstream	216	ZNF594-DT
chr17	5094818	5095162	345	*	X08317	84622	5082831	5095178	12348	-	0	inside	15	ZNF594
chr17	5095218	5095234	17	*	X08318	100130950	5095379	5138931	43553	+	144	upstream	144	ZNF594-DT
chr17	5095218	5095234	17	*	X08318	84622	5082831	5095178	12348	-	39	upstream	39	ZNF594
chr17	5096918	5097067	150	*	X08319	84622	5082831	5095178	12348	-	1739	upstream	1739	ZNF594
chr17	5390635	5390769	135	*	X08325	51009	5377613	5389494	11882	-	1140	upstream	1140	DERL2
chr17	7283318	7283452	135	*	X08388	8711	7284293	7293092	8800	+	840	upstream	840	TNK1
chr17	15904494	15904628	135	*	X08588	125150	15879875	15903006	23132	-	1487	upstream	1487	ZSWIM7
chr17	16473330	16473479	150	*	X08604	57336	16453631	16472520	18890	-	809	upstream	809	ZNF287
chr17	18529689	18529721	33	*	X08655	284047	18441115	18528930	87816	-	758	upstream	758	CCDC144B
chr17	18576253	18576474	222	*	X08660	2310	18569236	18576494	7259	-	0	inside	19	FOXO3B
chr17	18577955	18578052	98	*	X08661	2310	18569236	18576494	7259	-	1460	upstream	1460	FOXO3B
chr17	18909911	18910015	105	*	X08666	644815	18874381	18908060	33680	-	1850	upstream	1850	FAM83G
chr17	28562544	28562798	255	*	X08717	6532	28521337	28562986	41650	-	0	inside	187	SLC6A4
chr17	28562859	28562911	53	*	X08718	6532	28521337	28562986	41650	-	0	inside	74	SLC6A4
chr17	39297607	39297726	120	*	X08851	81871	39295685	39296739	1055	-	867	upstream	867	KRTAP4-6
chr17	39297847	39297966	120	*	X08852	81871	39295685	39296739	1055	-	1107	upstream	1107	KRTAP4-6
chr17	40897282	40897358	77	*	X08860	2145	40852293	40897071	44779	-	210	upstream	210	EZH1
chr17	40897668	40897772	105	*	X08861	2145	40852293	40897071	44779	-	596	upstream	596	EZH1
chr17	56769103	56769252	150	*	X09069	56155	56634038	56769416	135379	-	0	inside	163	TEX14
chr17	56769103	56769252	150	*	X09069	5889	56769963	56811692	41730	+	710	upstream	710	RAD51C
chr17	56769357	56769596	240	*	X09070	56155	56634038	56769416	135379	-	0	overlapStart	0	TEX14
chr17	56769357	56769596	240	*	X09070	5889	56769963	56811692	41730	+	366	upstream	366	RAD51C
chr17	57642412	57642546	135	*	X09079	79665	57642886	57685713	42828	+	339	upstream	339	DHX40
chr17	57642795	57642827	33	*	X09080	79665	57642886	57685713	42828	+	58	upstream	58	DHX40
chr17	72619700	72619705	6	*	X09291	342510	72606022	72619897	13876	-	0	inside	191	CD300E
chr18	22006301	22006343	43	*	X09512	55364	22006609	22033494	26886	+	265	upstream	265	IMPACT
chr18	72162259	72162381	123	*	X09648	55748	72163500	72190689	27190	+	1118	upstream	1118	CNDP2
chr18	74960858	74960876	19	*	X09663	2587	74962008	74982096	20089	+	1131	upstream	1131	GALR1
chr19	2839352	2839471	120	*	X09731	148254	2841433	2860472	19040	+	1961	upstream	1961	ZNF555
chr19	2840782	2841021	240	*	X09732	148254	2841433	2860472	19040	+	411	upstream	411	ZNF555
chr19	2865856	2866101	246	*	X09735	80032	2867333	2878503	11171	+	1231	upstream	1231	ZNF556
chr19	2866936	2867370	435	*	X09736	80032	2867333	2878503	11171	+	0	overlapStart	0	ZNF556
chr19	2867415	2867564	150	*	X09737	80032	2867333	2878503	11171	+	0	inside	81	ZNF556
chr19	3869093	3869630	538	*	X09773	23217	3804022	3869027	65006	-	65	upstream	65	ZFR2
chr19	5341203	5341328	126	*	X09790	5802	5158506	5340814	182309	-	388	upstream	388	PTPRS
chr19	5341464	5341547	84	*	X09791	5802	5158506	5340814	182309	-	649	upstream	649	PTPRS
chr19	6425875	6426002	128	*	X09810	8570	6413119	6424822	11704	-	1052	upstream	1052	KHSRP
chr19	6887639	6887788	150	*	X09817	2015	6887560	6940464	52905	+	0	inside	78	ADGRE1
chr19	8943731	8943936	206	*	X09871	148156	8920382	8942975	22594	-	755	upstream	755	ZNF558
chr19	9091898	9092045	148	*	X09872	94025	8959520	9092018	132499	-	0	overlapStart	0	MUC16
chr19	9433629	9433778	150	*	X09894	84527	9434448	9454521	20074	+	669	upstream	669	ZNF559
chr19	9433629	9433778	150	*	X09894	100529215	9434902	9493293	58392	+	1123	upstream	1123	ZNF559-ZNF177
chr19	9435110	9435242	133	*	X09895	100529215	9434902	9493293	58392	+	0	inside	207	ZNF559-ZNF177
